hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
IVV/CETAF2023Pato Basquete2023,IVV/CETAF2023Pato Basquete20232,2023-06-18,2,2023,IVV/CETAF2023,Pato Basquete2023,21,19,3,7,5,12,2,2,23,14,4,9,2,5,7,8,21.88,16.52,19.2,21,23,-2,44,2,4.0
IVV/CETAF2023Pato Basquete2023,IVV/CETAF2023Pato Basquete20233,2023-06-18,3,2023,IVV/CETAF2023,Pato Basquete2023,15,14,1,4,6,10,0,0,21,16,4,8,3,8,3,3,17.0,18.32,17.66,15,21,-6,36,-4,2.0
IVV/CETAF2023Pato Basquete2023,IVV/CETAF2023Pato Basquete20234,2023-06-18,4,2023,IVV/CETAF2023,Pato Basquete2023,13,13,1,4,4,9,2,3,17,15,1,6,6,9,2,3,17.32,17.32,17.32,13,17,-4,30,-8,-4.0
IVV/CETAF2023Pato Basquete2023,IVV/CETAF2023Pato Basquete2023Final,2023-06-18,Final,2023,IVV/CETAF2023,Pato Basquete2023,70,62,8,24,21,38,4,5,78,62,9,28,19,34,13,17,74.2,66.48,70.34,70,78,-8,148,-16,
Minas2023Praia Clube2023,Minas2023Praia Clube20231,2023-06-18,1,2023,Minas2023,Praia Clube2023,21,15,1,4,8,11,2,6,21,18,4,9,4,9,1,4,20.64,23.76,22.200000000000003,21,21,0,42,0,0.0
Minas2023Praia Clube2023,Minas2023Praia Clube20232,2023-06-18,2,2023,Minas2023,Praia Clube2023,22,17,2,6,6,11,4,5,23,17,2,9,7,8,3,7,22.2,21.08,21.64,22,23,-1,45,-1,0.0
Minas2023Praia Clube2023,Minas2023Praia Clube20233,2023-06-18,3,2023,Minas2023,Praia Clube2023,18,16,4,8,2,8,2,6,19,16,4,9,3,7,1,2,18.64,22.88,20.759999999999998,18,19,-1,37,-2,-1.0
Minas2023Praia Clube2023,Minas2023Praia Clube20234,2023-06-18,4,2023,Minas2023,Praia Clube2023,11,17,0,10,3,7,5,8,29,21,2,4,9,17,5,7,25.52,29.08,27.299999999999997,11,29,-18,40,-20,-2.0
Minas2023Praia Clube2023,Minas2023Praia Clube2023Final,2023-06-18,Final,2023,Minas2023,Praia Clube2023,72,65,7,28,19,37,13,25,92,72,12,31,23,41,10,20,85.0,92.8,88.9,72,92,-20,164,-40,
Paulistano2023R10 Score Vasco da Gama2023,Paulistano2023R10 Score Vasco da Gama20231,2023-06-18,1,2023,Paulistano2023,R10 Score Vasco da Gama2023,28,18,1,8,9,10,7,12,18,16,2,10,5,6,2,3,18.28,23.32,20.8,28,18,10,46,10,0.0
