event_id,date,home_team,away_team,home_q1,away_q1,home_ot1,away_ot1,home_ot2,away_ot2,home_final,away_final
8419958,2024-06-29 09:00:00,IVV/CETAF LDB U22,LDPG U22,11,20,56,52,,,56,52
8414795,2024-06-28 16:00:00,BRB/Brasilia LDB U22,Bauru LDB U22,12,23,64,70,,,64,70
8414796,2024-06-28 13:45:00,AEGB LDB U22,Minas LDB U22,8,30,44,128,,,44,128
8410276,2024-06-28 13:30:00,Paulistano U22,Pinheiros U22,15,24,92,98,,,92,98
8414794,2024-06-28 11:30:00,Basquete Cearense LDB U22,Cerrado Basquete LDB U22,8,22,57,88,,,57,88
8410201,2024-06-28 11:15:00,Mogi Basquete LDB U22,IVV/CETAF LDB U22,22,6,73,57,,,73,57
8410045,2024-06-28 09:00:00,LDPG U22,Cruzeiro LDB U22,16,19,74,86,,,74,86
8409989,2024-06-27 19:30:00,Pato Basquete LDB U22,Corinthians U22,15,32,52,115,,,52,115
8409963,2024-06-27 17:15:00,Campo Mourao LDB U22,Sao Paulo LDB U22,14,20,61,92,,,61,92
8409911,2024-06-27 16:00:00,Bauru LDB U22,AEGB LDB U22,22,14,76,40,,,76,40
8409828,2024-06-27 15:00:00,Soc. Thalia/SMEIJ LDB U22,Caxias do Sul LDB U22,21,18,64,84,,,64,84
8409667,2024-06-27 13:45:00,Minas LDB U22,Basquete Cearense LDB U22,19,11,97,40,,,97,40
8409605,2024-06-27 11:30:00,Cerrado Basquete LDB U22,Unifacisa LDB U22,25,15,87,53,,,87,53
8403876,2024-06-26 19:30:00,Sao Paulo LDB U22,Pato Basquete LDB U22,18,18,77,86,,,77,86
8403762,2024-06-26 17:15:00,Campo Mourao LDB U22,ADRM/Maringa LDB U22,24,9,85,63,,,85,63
8403685,2024-06-26 15:00:00,Corinthians U22,Soc. Thalia/SMEIJ LDB U22,24,21,88,76,,,88,76
8403595,2024-06-26 13:45:00,Basquete Cearense LDB U22,Bauru LDB U22,10,12,34,62,,,34,62
